"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 04 10:14:38 IDT 2020","Sun Oct 04 10:14:48 IDT 2020","10252","Suite","Mobile Tests","SanityTestCases.SpotifyMobile","SanityTestCases.SpotifyMobile","test03_pausePlayingSong","pause playing song","Test Description: pause the playing song and verify player pause icon is changing to play icon"
"passed","Sun Oct 04 10:11:20 IDT 2020","Sun Oct 04 10:11:21 IDT 2020","618","Suite","Web Tests","SanityTestCases.saucedemoWeb","SanityTestCases.saucedemoWeb","test05_logout","logout of the site","logout of the site and verify login page display"
"passed","Sun Oct 04 10:15:27 IDT 2020","Sun Oct 04 10:15:59 IDT 2020","31973","Suite","Mobile Tests","SanityTestCases.SpotifyMobile","SanityTestCases.SpotifyMobile","test06_logout","logout from the app","Test Description: logout from the app and verify the initial page is display"
"passed","Sun Oct 04 10:17:30 IDT 2020","Sun Oct 04 10:17:33 IDT 2020","2612","Suite","API Tests","SanityTestCases.StudentsAPI","SanityTestCases.StudentsAPI","test_01_GetStudents","Get The Students from the server","Test Description: get the Students from the server and verify 100 Students Exists"
"passed","Sun Oct 04 10:18:56 IDT 2020","Sun Oct 04 10:18:57 IDT 2020","1181","Suite","Electron Tests","SanityTestCases.TodolistElectron","SanityTestCases.TodolistElectron","test04_markAllTaskAsCompleted","Test 04: mark all task as completed","Test Description: mark all task as completed and verify they has V sign"
"passed","Sun Oct 04 10:14:48 IDT 2020","Sun Oct 04 10:15:07 IDT 2020","19379","Suite","Mobile Tests","SanityTestCases.SpotifyMobile","SanityTestCases.SpotifyMobile","test04_addSongToFavoritesFromPlayer","add song to favorites from player section","Test Description: add song to favorites from player section and verified it had been added"
"passed","Sun Oct 04 10:17:33 IDT 2020","Sun Oct 04 10:17:34 IDT 2020","181","Suite","API Tests","SanityTestCases.StudentsAPI","SanityTestCases.StudentsAPI","test_03_updateStudent","update the last added student in the server","Test Description: update the last added student in the server and verify the data was updated"
"passed","Sun Oct 04 10:11:09 IDT 2020","Sun Oct 04 10:11:20 IDT 2020","10534","Suite","Web Tests","SanityTestCases.saucedemoWeb","SanityTestCases.saucedemoWeb","test04_addItemAndRemoveItFromCartPage","add item and remove it from cart page","add the first item to cart and remove it from cart page"
"passed","Sun Oct 04 10:11:09 IDT 2020","Sun Oct 04 10:11:09 IDT 2020","614","Suite","Web Tests","SanityTestCases.saucedemoWeb","SanityTestCases.saucedemoWeb","test03_addItemToChart","add item to cart","add the first item to cart and verify it been added"
"passed","Sun Oct 04 10:14:15 IDT 2020","Sun Oct 04 10:14:26 IDT 2020","10705","Suite","Mobile Tests","SanityTestCases.SpotifyMobile","SanityTestCases.SpotifyMobile","test01_login","login to Spotify","Test Description: login to Spotify and verify main page is displayed (by verifying settings button is displayed)"
